timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603281812584,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,271,0,1,1,null,0,0,0
1603281812585,12,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,12,0,1
1603281812598,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812598,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812603,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812603,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812608,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812608,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812613,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812613,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812619,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812619,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281812624,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812624,6,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,6,0,1
1603281812630,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812631,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812636,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812636,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812641,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,345,0,1,1,null,0,0,0
1603281812641,6,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,6,0,0
1603281812647,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
